temp,Year,Month,Country
11,2009,1,MAR 
15,2009,2,MAR 
19,2009,3,MAR 
22,2009,4,MAR 
27,2009,5,MAR 
32,2009,6,MAR 
34,2009,7,MAR 
33,2009,8,MAR 
28,2009,9,MAR 
24,2009,10,MAR 
18,2009,11,MAR 
15,2009,12,MAR 
14,2010,1,MAR 
17,2010,2,MAR 
20,2010,3,MAR 
24,2010,4,MAR 
27,2010,5,MAR 
31,2010,6,MAR 
33,2010,7,MAR 
32,2010,8,MAR 
30,2010,9,MAR 
24,2010,10,MAR 
18,2010,11,MAR 
15,2010,12,MAR 
13,2011,1,MAR 
14,2011,2,MAR 
19,2011,3,MAR 
24,2011,4,MAR 
27,2011,5,MAR 
32,2011,6,MAR 
33,2011,7,MAR 
32,2011,8,MAR 
30,2011,9,MAR 
23,2011,10,MAR 
17,2011,11,MAR 
13,2011,12,MAR 
11,2012,1,MAR 
13,2012,2,MAR 
17,2012,3,MAR 
23,2012,4,MAR 
28,2012,5,MAR 
33,2012,6,MAR 
33,2012,7,MAR 
33,2012,8,MAR 
30,2012,9,MAR 
25,2012,10,MAR 
19,2012,11,MAR 
14,2012,12,MAR 
12,2013,1,MAR 
14,2013,2,MAR 
20,2013,3,MAR 
23,2013,4,MAR 
27,2013,5,MAR 
34,2013,6,MAR 
32,2013,7,MAR 
32,2013,8,MAR 
29,2013,9,MAR 
25,2013,10,MAR 
17,2013,11,MAR 
13,2013,12,MAR 
13,2014,1,MAR 
15,2014,2,MAR 
18,2014,3,MAR 
28,2014,4,MAR 
28,2014,5,MAR 
32,2014,6,MAR 
33,2014,7,MAR 
32,2014,8,MAR 
30,2014,9,MAR 
25,2014,10,MAR 
18,2014,11,MAR 
13,2014,12,MAR 
11,2015,1,MAR 
13,2015,2,MAR 
18,2015,3,MAR 
23,2015,4,MAR 
29,2015,5,MAR 
32,2015,6,MAR 
34,2015,7,MAR 
32,2015,8,MAR 
29,2015,9,MAR 
25,2015,10,MAR 
18,2015,11,MAR 
13,2015,12,MAR 
